GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT SOUTH ENTRANCE,2016,22052.00,35523.00,56816.00,40942.00,59667.00,67306.00,78411.00,65100.00,56875.00,37200.00,31818.00,23689.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2015,24755.00,24247.00,31144.00,42358.00,54494.00,62096.00,65100.00,65100.00,46500.00,37309.00,23774.00,20179.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2014,17825.00,18900.00,21700.00,33750.00,44950.00,55500.00,72129.00,62899.00,46547.00,43574.00,40350.00,21700.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2013,17825.00,18900.00,21700.00,33750.00,44950.00,55500.00,65100.00,65100.00,46500.00,37200.00,22500.00,21700.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2012,15428.00,17028.00,21700.00,33750.00,44950.00,55500.00,65100.00,65100.00,46500.00,37200.00,22500.00,21700.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2011,15434.00,13332.00,12992.00,32040.00,47396.00,54693.00,76212.00,69499.00,49486.00,37200.00,18917.00,18225.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2010,16040.00,14844.00,21230.00,29479.00,50490.00,63620.00,70455.00,64502.00,49399.00,37200.00,22500.00,15772.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2009,17717.00,12422.00,19704.00,34510.00,52247.00,53929.00,66066.00,62636.00,45756.00,38159.00,22796.00,16737.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2008,17825.00,19575.00,21700.00,29290.00,48438.00,53058.00,60106.00,57719.00,41679.00,35426.00,22802.00,16071.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2007,18145.00,18900.00,21700.00,33750.00,44950.00,55500.00,65100.00,65100.00,46500.00,37200.00,22500.00,21700.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2006,16776.00,15443.00,14377.00,25686.00,60103.00,65920.00,73634.00,63361.00,44182.00,33379.00,22318.00,17367.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2005,13732.00,14793.00,20122.00,25164.00,33227.00,52523.00,54120.00,65100.00,31650.00,33800.00,22050.00,18502.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2004,16209.00,18128.00,21700.00,33750.00,44950.00,49265.00,55009.00,52662.00,37473.00,25277.00,17765.00,12979.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2003,18473.00,16859.00,19759.00,25198.00,39630.00,49463.00,60157.00,65100.00,37150.00,33447.00,19697.00,15867.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2002,16702.00,17406.00,21127.00,25544.00,41024.00,47178.00,54323.00,54134.00,37721.00,31226.00,21333.00,17140.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2001,14438.00,15288.00,19201.00,25267.00,40497.00,45581.00,53610.00,52516.00,47098.00,22889.00,21148.00,17728.00
TRAFFIC COUNT AT SOUTH ENTRANCE,2000,14585.00,18311.00,22615.00,34845.00,39950.00,46510.00,54469.00,52706.00,40254.00,30697.00,19052.00,18609.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1999,18755.00,18700.00,23241.00,28815.00,52159.00,50414.00,61299.00,61890.00,45175.00,38970.00,23622.00,17638.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1998,17200.00,14357.00,20812.00,32014.00,43846.00,50421.00,63843.00,65678.00,47498.00,45852.00,23224.00,19608.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1997,0.00,12748.00,29441.00,37683.00,53449.00,49793.00,63343.00,68865.00,44681.00,37867.00,23761.00,18906.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1996,13952.00,18050.00,24429.00,34605.00,51696.00,54558.00,63908.00,66356.00,46265.00,37976.00,23648.00,21500.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1995,17509.00,20602.00,19198.00,35857.00,34250.00,61652.00,69373.00,64164.00,51775.00,42856.00,25173.00,12896.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1994,19032.00,17052.00,24478.00,32026.00,48134.00,50921.00,63408.00,61668.00,41937.00,32925.00,19666.00,21479.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1993,16718.00,18671.00,21379.00,33234.00,51821.00,53617.00,63872.00,66975.00,50154.00,41311.00,24799.00,21445.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1992,21166.00,18137.00,21098.00,33492.00,48417.00,49815.00,57766.00,57744.00,42980.00,34644.00,23194.00,17773.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1991,15707.00,14549.00,14736.00,25400.00,44100.00,38918.00,48454.00,61105.00,42339.00,33365.00,23120.00,16642.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1990,14198.00,15155.00,19045.00,30506.00,40668.00,40966.00,44333.00,35898.00,30752.00,27082.00,20945.00,13626.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1989,16447.00,14430.00,19949.00,25217.00,40560.00,44681.00,52628.00,50941.00,38014.00,28104.00,21848.00,16801.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1988,14751.00,15320.00,19480.00,21968.00,37389.00,40673.00,49849.00,48315.00,35096.00,27322.00,17328.00,14934.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1987,13759.00,13888.00,13190.00,23545.00,34671.00,40886.00,44660.00,45808.00,29833.00,24398.00,15652.00,12202.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1986,13785.00,10867.00,15905.00,17798.00,31773.00,36019.00,41922.00,45569.00,28342.00,24058.00,17722.00,12324.00
TRAFFIC COUNT AT SOUTH ENTRANCE,1985,13849.00,13833.00,15849.00,22651.00,36111.00,43743.00,49245.00,53278.00,34445.00,26159.00,12573.00,13571.00
TRAFFIC COUNT AT TIOGA PASS,2018,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,,,,,
TRAFFIC COUNT AT TIOGA PASS,2017,0.00,0.00,0.00,0.00,0.00,2200.00,48050.00,59877.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2016,0.00,0.00,0.00,0.00,0.00,65348.00,64892.00,61146.00,52609.00,20250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2015,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,55576.00,45006.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2014,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2013,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,60200.00,48000.00,18000.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2012,4800.00,3400.00,0.00,0.00,0.00,33000.00,48050.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2011,0.00,0.00,0.00,0.00,0.00,13200.00,48050.00,66650.00,48000.00,23250.00,0.00,2000.00
TRAFFIC COUNT AT TIOGA PASS,2010,0.00,0.00,0.00,0.00,0.00,27500.00,46593.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2009,0.00,0.00,0.00,0.00,11440.00,31814.00,46336.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2008,0.00,0.00,0.00,0.00,6051.00,30737.00,42324.00,45552.00,34933.00,18098.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2007,0.00,0.00,0.00,0.00,16926.00,30693.00,41243.00,43779.00,32317.00,16068.00,7928.00,496.00
TRAFFIC COUNT AT TIOGA PASS,2006,0.00,0.00,0.00,0.00,0.00,14300.00,46715.00,41464.00,33844.00,18173.00,5437.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2005,0.00,0.00,0.00,0.00,0.00,1256.00,44192.00,66650.00,46115.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2004,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,44509.00,33116.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2003,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,66650.00,42036.00,24287.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2002,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2001,0.00,0.00,0.00,0.00,0.00,33000.00,48050.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,2000,0.00,0.00,0.00,0.00,5702.00,31188.00,42750.00,44719.00,35691.00,22682.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1999,0.00,0.00,0.00,0.00,0.00,31064.00,48050.00,66650.00,44506.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1998,0.00,0.00,0.00,0.00,0.00,0.00,48291.00,66650.00,38739.00,21066.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1997,0.00,0.00,0.00,0.00,0.00,29357.00,45545.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1996,0.00,0.00,0.00,0.00,0.00,36597.00,48100.00,66650.00,48000.00,23250.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1995,0.00,0.00,0.00,0.00,293.00,267.00,50803.00,55718.00,45164.00,27510.00,10187.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1994,0.00,0.00,0.00,0.00,9129.00,36563.00,40105.00,68000.00,49000.00,20713.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1993,0.00,0.00,0.00,0.00,0.00,28733.00,51548.00,63912.00,46534.00,24972.00,629.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1992,0.00,0.00,0.00,0.00,20141.00,38345.00,50288.00,55214.00,43032.00,25546.00,49.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1991,0.00,0.00,0.00,0.00,4991.00,29141.00,45448.00,46429.00,34868.00,19130.00,0.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1990,0.00,0.00,0.00,0.00,8538.00,31035.00,41192.00,31815.00,30997.00,16038.00,2823.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1989,0.00,0.00,0.00,0.00,17574.00,31531.00,46496.00,46613.00,30662.00,15222.00,4891.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1988,0.00,0.00,0.00,360.00,18451.00,30508.00,41206.00,45067.00,34517.00,22833.00,3547.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1987,0.00,0.00,0.00,0.00,21770.00,35568.00,42969.00,51019.00,37658.00,22244.00,778.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1986,0.00,0.00,0.00,0.00,7822.00,29423.00,39787.00,47100.00,27774.00,16018.00,7243.00,0.00
TRAFFIC COUNT AT TIOGA PASS,1985,0.00,0.00,0.00,0.00,16787.00,28057.00,38123.00,43907.00,32070.00,13408.00,2364.00,0.00
